Community Lot ID,NH Task Name,Tickets Name,Created By: Full Name,Design QA Score,Design QA Date,Design QA Result
a3TUS00000B3MQg,Design QA,QA-001,Mary Genevieve Mendoza,100,5/28/2026,Pass
a3TUS00000B1a9u,Design QA,QA-001,Mary Genevieve Mendoza,100,6/15/2026,Pass
a3TUS00000B3MQh,Design QA,QA-001,Mary Genevieve Mendoza,100,5/28/2026,Pass
a3TUS00000B3MQf,Design QA,QA-001,Mary Genevieve Mendoza,100,5/28/2026,Pass
a3TUS00000B0ojW,Design QA,QA-001,Mary Genevieve Mendoza,100,8/11/2026,Pass
a3TUS00000B0rMf,Design QA,QA-001,Mary Genevieve Mendoza,100,8/3/2026,Pass
a3TUS00000B0yA0,Design QA,QA-001,Mary Genevieve Mendoza,100,6/3/2026,Pass
a3TUS00000B1Ze8,Design QA,QA-001,Mary Genevieve Mendoza,100,8/6/2026,Pass
a3TUS00000B1oD6,Design QA,QA-001,Mary Genevieve Mendoza,100,6/4/2026,Pass
a3TUS00000B1LQP,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000B11oD,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000B1VkP,Design QA,QA-001,Mary Genevieve Mendoza,100,5/26/2026,Pass
a3TUS00000B3jVJ,Design QA,QA-001,Mary Genevieve Mendoza,98,5/28/2026,Fail
a3TUS00000B1kku,Design QA,QA-001,Mary Genevieve Mendoza,100,9/8/2026,Pass
a3TUS00000B1Ghd,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000B1nOc,Design QA,QA-001,Mary Genevieve Mendoza,100,5/26/2026,Pass
a3TUS00000B1pdk,Design QA,QA-001,Mary Genevieve Mendoza,100,6/15/2026,Pass
a3TUS00000B3jVK,Design QA,QA-001,Mary Genevieve Mendoza,100,5/29/2026,Pass
a3TUS00000B1ajd,Design QA,QA-001,Mary Genevieve Mendoza,100,5/29/2026,Pass
a3TUS00000B16Co,Design QA,QA-001,Mary Genevieve Mendoza,100,6/3/2026,Pass
a3TUS00000B1rvL,Design QA,QA-001,Mary Genevieve Mendoza,100,8/27/2026,Pass
a3TUS00000B1udF,Design QA,QA-001,Mary Genevieve Mendoza,100,9/1/2026,Pass
a3TUS00000B0wn5,Design QA,QA-001,Mary Genevieve Mendoza,100,9/11/2026,Pass
a3TUS00000B13CT,Design QA,QA-001,Mary Genevieve Mendoza,100,6/8/2026,Pass
a3TUS00000B1nTW,Design QA,QA-001,Mary Genevieve Mendoza,99,7/16/2026,Fail
a3TUS00000B1jSn,Design QA,QA-001,Mary Genevieve Mendoza,100,8/28/2026,Pass
a3TUS00000B1eyy,Design QA,QA-001,Mary Genevieve Mendoza,100,5/28/2026,Pass
a3TUS00000B14Ma,Design QA,QA-001,Mary Genevieve Mendoza,100,9/15/2026,Pass
a3TUS00000B1VQ7,Design QA,QA-001,Mary Genevieve Mendoza,100,9/2/2026,Pass
a3TUS00000B1hLH,Design QA,QA-001,Mary Genevieve Mendoza,100,6/29/2026,Pass
a3TUS00000B1Jm9,Design QA,QA-001,Mary Genevieve Mendoza,100,5/28/2026,Pass
a3TUS00000BITTR,Design QA,QA-001,Mary Genevieve Mendoza,100,6/11/2026,Pass
a3TUS00000B19Fb,Design QA,QA-001,Mary Genevieve Mendoza,98,7/2/2026,Fail
a3TUS00000B1Bjg,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000B18UD,Design QA,QA-001,Mary Genevieve Mendoza,100,9/2/2026,Pass
a3TUS00000B1JOn,Design QA,QA-001,Mary Genevieve Mendoza,100,5/26/2026,Pass
a3TUS00000B1J6b,Design QA,QA-001,Mary Genevieve Mendoza,100,8/12/2026,Pass
a3TUS00000B1eOf,Design QA,QA-001,Mary Genevieve Mendoza,100,9/2/2026,Pass
a3TUS00000BKcNl,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000Bj3Mn,Design QA,QA-001,Mary Genevieve Mendoza,100,7/15/2026,Pass
a3TUS00000BKcNm,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000B1q0c,Design QA,QA-001,Mary Genevieve Mendoza,100,7/31/2026,Pass
